sales_key,order_id,order_item_id,customer_key,product_key,seller_key,order_date_key,delivery_date_key,price,freight_value,total_item_value,payment_value,payment_type,payment_installments,delivery_days,is_late_delivery,order_status,batch_id,created_at
1,a5972b5004384162a3205fdf0e15dfbf,1,416,60,88,20220207,20220219.0,291.01,96.53,387.54,,,,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
2,a3ad26858ab84dc38c45ba17124c2bb2,1,152,369,22,20190501,,822.8,54.82,877.62,,,,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
3,878ae4d59c9e47c6ab0469c387b1e58b,1,292,462,14,20231126,20231205.0,1865.94,38.93,1904.87,21933.35,voucher,1.0,9.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
4,327a8999d6b1429aaca5b4bda7cd1f01,1,919,32,50,20180719,20180819.0,471.16,39.98,511.14,262.65,debit_card,1.0,31.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
5,e6646457776744838f50355146f9ca82,1,320,322,5,20241202,,1136.07,86.13,1222.2,21362.45,voucher,1.0,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
6,68bf2ad9c64441cb8eb4fbd06fd9f3e5,1,419,467,61,20170612,20170704.0,1093.44,4.92,1098.36,23807.35,boleto,1.0,22.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
7,94133eaae6e14839877d31f561c3baf7,1,374,316,50,20210130,20210301.0,1145.13,40.45,1185.58,,,,30.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
8,b8e4295c707745a7a0d6bf9e65493653,1,140,314,33,20240709,,1820.93,26.05,1846.98,,,,,False,processing,FULL_RUN,2026-07-17 07:12:14.994312
9,1f2445aaf0064ad1b6dd1a3fce8f9c26,1,227,471,20,20240105,,1960.36,64.76,2025.12,11090.45,credit_card,9.0,,False,canceled,FULL_RUN,2026-07-17 07:12:14.994312
10,65f2fff5bb8f41b1a7dc0cf7de4860e2,1,680,149,82,20210204,20210216.0,1075.23,37.93,1113.16,,,,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
11,75735c6cdcc142f68f71f21888b403c1,1,37,452,21,20190219,20190406.0,352.83,96.83,449.66,,,,46.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
12,4f5a327c3c7342b28c1b3a5ea58c4401,1,204,76,6,20230727,20230802.0,1481.31,44.88,1526.19,17716.85,credit_card,3.0,6.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
13,04e73760f5c94640b986835e96d0e6bb,1,401,119,52,20240808,20240903.0,823.69,88.34,912.03,17157.7,voucher,1.0,26.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
14,551c4384136e4dafa68a45a1e4ee2d02,1,655,218,54,20200421,20200606.0,1681.07,37.24,1718.31,,,,46.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
15,bf2c87a415864a4391af7d377d059efc,1,100,240,47,20241111,,1468.23,46.06,1514.29,,,,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
16,0b2c797a2f4f461b83c77d497c770932,1,758,273,27,20220922,20220927.0,655.39,41.69,697.08,13957.55,voucher,1.0,5.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
17,b6cdf6f712f34ec0b172307c232f0ade,1,268,486,94,20180216,,437.83,21.52,459.35,11114.55,credit_card,10.0,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
18,16e32ae62b1c4fdda40290b195b4347a,1,175,282,98,20190127,20190313.0,1569.33,38.25,1607.58,10101.7,voucher,1.0,45.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
19,46a82ca8114f43b9947ed9928ff562aa,1,468,204,19,20190202,20190305.0,819.38,65.47,884.85,,,,31.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
20,c9e06a7e2f0d4e65b998ca971421b580,1,883,464,100,20190430,20190511.0,221.76,66.27,288.03,15930.9,credit_card,8.0,11.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
21,83600c7840a44da7bb27ca01e39bfca8,1,351,175,71,20170831,20170906.0,1249.07,7.94,1257.01,23213.25,boleto,1.0,6.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
22,9d3ea1f370aa4aeca62a3240e641d39e,1,182,224,24,20200817,20200829.0,317.66,40.28,357.94,,,,12.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
23,7e12188164a84e40b8f579791e8271fd,1,463,291,86,20180701,20180718.0,888.75,70.32,959.07,13792.7,voucher,1.0,17.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
24,1e1b931ad9534d3893c85400fc175d23,1,809,394,20,20230513,20230604.0,550.27,75.36,625.63,21556.4,debit_card,1.0,22.0,True,delivered,FULL_RUN,2026-07-17 07:12:14.994312
25,f4fd518baea84ab59e8c49119ddd0e6d,1,815,80,53,20201107,20201118.0,806.74,78.84,885.58,841.0,boleto,1.0,11.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
26,2a421fff9f82415eafd4807fe664d25e,1,997,391,63,20211208,20220112.0,939.82,87.2,1027.02,18401.8,voucher,1.0,35.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
27,a3627013b33a494c8cbafc568d882d1f,1,652,377,81,20191217,,1222.66,77.05,1299.71,,,,,False,shipped,FULL_RUN,2026-07-17 07:12:14.994312
28,e4996b0d63194466896cb2c4518ad1e6,1,580,46,3,20220930,,75.43,12.42,87.85,,,,,False,invoiced,FULL_RUN,2026-07-17 07:12:14.994312
29,ba47ad1eeaa946d1a9b778c26e383ea9,1,138,437,12,20240924,20241020.0,1840.74,87.34,1928.08,,,,26.0,False,delivered,FULL_RUN,2026-07-17 07:12:14.994312
